from,to,year,relation,land,wvb
Wernher_von_Braun,Arthur_Rudolph,1,function,1,1
Wernher_von_Braun,Hermann_Oberth,1,function,1,1
Wernher_von_Braun,Klaus_Riedel,1,function,1,1
Wernher_von_Braun,Rudolf_Nebel,1,function,1,1
Wernher_von_Braun,Walter_Dornberger,1,function,1,1
Albert_Speer,Adolf_Hitler,2,function,1,0
Dieter_Huzel,Wernher_von_Braun,2,function,1,0
Eberhard_Rees,Heeresversuchsanstalt,2,function,1,0
Eberhard_Rees,Wernher_von_Braun,2,function,1,0
Erich_Warsitz,Wernher_von_Braun,2,function,1,0
Ernst_Heinkel,Wernher_von_Braun,2,function,1,0
Georg_Rickhey,Walter_Dornberger,2,function,1,0
Georg_Rickhey,Wernher_von_Braun,2,function,1,0
Walter_Dornberger,Adolf_Hitler,2,function,1,0
Wernher_von_Braun,Adolf_Hitler,2,function,1,1
Wernher_von_Braun,Albert_Speer,2,function,1,1
Wernher_von_Braun,Arthur_Rudolph,2,function,1,1
Wernher_von_Braun,Bernhard_Tessmann,2,function,1,1
Wernher_von_Braun,Dieter_Huzel,2,function,1,1
Wernher_von_Braun,Eberhard_Rees,2,function,1,1
Wernher_von_Braun,Erich_Warsitz,2,function,1,1
Wernher_von_Braun,Ernst_Heinkel,2,function,1,1
Wernher_von_Braun,Ernst_Stuhlinger,2,function,1,1
Wernher_von_Braun,Georg_von_Tiesenhausen,2,function,1,1
Wernher_von_Braun,Heinrich_Himmler,2,function,1,1
Wernher_von_Braun,Klaus_Riedel,2,function,1,1
Wernher_von_Braun,Konrad_Dannenberg,2,function,1,1
Wernher_von_Braun,Kurt_Debus,2,function,1,1
Wernher_von_Braun,Walter_Dornberger,2,function,1,1
Wernher_von_Braun,Walter_Riedel,2,function,1,1
Wernher_von_Braun,Arthur_Rudolph,3,function,2,1
Wernher_von_Braun,Bernhard_Tessmann,3,function,2,1
Wernher_von_Braun,Dieter_Huzel,3,function,2,1
Wernher_von_Braun,Ernst_Stuhlinger,3,function,2,1
Wernher_von_Braun,Georg_von_Tiesenhausen,3,function,2,1
Wernher_von_Braun,Konrad_Dannenberg,3,function,2,1
Wernher_von_Braun,Kurt_Debus,3,function,2,1
Wernher_von_Braun,Walt_Disney,3,function,2,1
Wernher_von_Braun,Bernhard_Tessmann,4,function,2,1
Wernher_von_Braun,Ernst_Stuhlinger,4,function,2,1
Wernher_von_Braun,Georg_von_Tiesenhausen,4,function,2,1
Wernher_von_Braun,John_F_Kennedy,4,function,2,1
Wernher_von_Braun,Konrad_Dannenberg,4,function,2,1
Wernher_von_Braun,Kurt_Debus,4,function,2,1
