id,name,type,study,promotion
Adolf_Hitler,Hitler,0,0,0
Albert_Speer,Speer,0,1,0
Arthur_Rudolph,Rudolph,0,1,0
Bernhard_Tessmann,Tessmann,0,1,0
Dieter_Huzel,Huzel,0,1,0
Eberhard_Rees,Rees,0,1,0
Erich_Warsitz,Warsitz,0,0,0
Ernst_Heinkel,Heinkel,0,1,0
Ernst_Stuhlinger,Stuhlinger,0,1,1
Georg_Rickhey,Rickhey,0,1,1
Georg_von_Tiesenhausen,Tiesenhausen,0,1,1
Heinrich_Himmler,Himmler,0,1,0
Hermann_Oberth,Oberth,0,1,0
Hubertus_Strughold,Strughold,0,1,1
John_F_Kennedy,Kennedy,0,1,0
Klaus_Riedel,K_Riedel,0,1,0
Konrad_Dannenberg,Dannenberg,0,1,0
Konrad_Schaefer,Schaefer,0,1,1
Kurt_Debus,Debus,0,1,1
Rudolf_Nebel,Nebel,0,1,0
Siegfried_Ruff,Ruff,0,1,1
Theodor_Benzinger,Benzinger,0,1,1
Walt_Disney,Disney,0,0,0
Walter_Dornberger,Dornberger,0,1,0
Walter_Riedel,W_Riedel,0,0,0
Wernher_von_Braun,Braun,0,1,1
