id,name,type,study,promotion
Adolf_Hitler,Hitler,0,0,0
Aero_Medical_Center,AMC,1,99,99
Aggregat_2,Aggregat_2,3,99,99
Albert_Speer,Speer,0,1,0
Albertus_Universitaet_Koenigsberg,Uni_Koenigsberg,1,99,99
Arthur_Rudolph,Rudolph,0,1,0
Augsburg,Augsburg,2,99,99
Berlin,Berlin,2,99,99
Bernhard_Tessmann,Tessmann,0,1,0
Borkum,Borkum,2,99,99
Dachau,Dachau,2,99,99
Darmstadt,Darmstadt,2,99,99
Deutsche_Akademie_der_Naturforscher_Leopoldina,Leopoldina,1,99,99
Deutsche_Akademie_fuer_Luftfahrtforschung,DAfL,1,99,99
Deutsche_Versuchsanstalt_fuer_Luftfahrt,DVfL,1,99,99
Dieter_Huzel,Huzel,0,1,0
Doernten,Doernten,2,99,99
Ebensee,Ebensee,2,99,99
Eberhard_Karls_Universitaet_Tuebingen,Uni_Tuebingen,1,99,99
Eberhard_Rees,Rees,0,1,0
Eisenerzgrube_Georg_Friedrich,Eisenerzgrube,2,99,99
Erich_Warsitz,Warsitz,0,0,0
Ernst_Heinkel,Heinkel,0,1,0
Ernst_Stuhlinger,Stuhlinger,0,1,1
Flugmedizinisches_Institut,FmI,1,99,99
Forschungsinstitut_fuer_Luftfahrtmedizin,FfL,1,99,99
Forschungsstation_Zugspitze,ForStaZug,1,99,99
Friedrich_Wilhelm_Universitaet_Berlin,Uni_Wilhelm,1,99,99
Fuehrerhauptquartier_Wolfsschanze,Wolfsschanze,2,99,99
Georg_Rickhey,Rickhey,0,1,1
Georg_von_Tiesenhausen,Tiesenhausen,0,1,1
Gestapo,Gestapo,1,99,99
Halle,Halle,2,99,99
Hamburg,Hamburg,2,99,99
Heeresversuchsanstalt,HVA,1,99,99
Heereswaffenamt,HWA,1,99,99
Heidelberg,Heidelberg,2,99,99
Heinkel_He_112,HH112,3,99,99
Heinrich_Himmler,Himmler,0,1,0
Hermann_Oberth,Oberth,0,1,0
Hubertus_Strughold,Strughold,0,1,1
Ingenieurschule_Hamburg,Ingenieurschule,1,99,99
Joachim_Kuettner,Kuettner,0,1,1
Jueterbog,Jueterbog,2,99,99
Julius_Maximilians_Universitaet_Wuerzburg,Uni_Wuerzburg,1,99,99
Klaus_Riedel,K_Riedel,0,1,0
Koelpinsee,Koelpinsee,2,99,99
Koenigsberg,Koenigsberg,2,99,99
Konrad_Dannenberg,Dannenberg,0,1,0
Konrad_Schaefer,Schaefer,0,1,1
Konzentrationslager_Dachau,KZ_Dachau,1,99,99
Kummersdorf,Kummersdorf,2,99,99
Kurt_Debus,Debus,0,1,1
Ludwig_Maximilians_Universitaet_Muenchen,Uni_Muenchen,1,99,99
Luftfahrtmedizinisches_Forschungsinstitut,LmFi,1,99,99
Luftwaffe,Luftwaffe,1,99,99
Messerschmitt_AG,Messerschmitt_AG,1,99,99
Mittelbau_Dora,Mittelbau_Dora,2,99,99
Mittelwerk_GmbH,Mittelwerk_GmbH,1,99,99
Muenchen,Muenchen,2,99,99
Nationalsozialistische_Deutsche_Arbeiterpartei,NSDAP,1,99,99
Neuhardenberg,Neuhardenberg,2,99,99
Oberjoch,Oberjoch,2,99,99
Operation_Backfire,Backfire,3,99,99
Peenemuende,Peenemuende,2,99,99
Pruefstand_VII,PruVII,3,99,99
Rechlin,Rechlin,2,99,99
Reichsluftfahrtministerium,RLM,1,99,99
Reichsruestungsministerium,RRM,1,99,99
Reinsdorf,Reinsdorf,2,99,99
Schering_AG,Schering_AG,1,99,99
Schutzstaffel,SS,1,99,99
Siegfried_Ruff,Ruff,0,1,1
Sturmabteilung,SA,1,99,99
Stuttgart,Stuttgart,2,99,99
Technische_Hochschule_Berlin,TH_Berlin,1,99,99
Technische_Hochschule_Darmstadt,TH_Darmstadt,1,99,99
Technische_Hochschule_Stuttgart,TH_Stuttgart,1,99,99
Test_Stand_12,Test_Stand_12,3,99,99
Theodor_Benzinger,Benzinger,0,1,1
Tuebingen,Tuebingen,2,99,99
Universitaet_Berlin,Uni_Berlin,1,99,99
V2,V2,3,99,99
Verein_fuer_Raumschifffahrt,VfR,1,99,99
Walter_Dornberger,Dornberger,0,1,0
Walter_Riedel,W_Riedel,0,0,0
Wernher_von_Braun,Braun,0,1,1
Wuerzburg,Wuerzburg,2,99,99
Zeitschrift_Luftfahrtmedizin,Zeit_Lfm,1,99,99
Zugspitze,Zugspitze,2,99,99
