from,to,year,relation,land
Adolf_Hitler,Fuehrerhauptquartier_Wolfsschanze,2,place,1
Adolf_Hitler,Reichsruestungsministerium,2,function,1
Aero_Medical_Center,Heidelberg,2,place,1
Aero_Medical_Center,Heidelberg,3,place,1
Aero_Medical_Center,US_Army,3,function,1
Aerospace_Medical_Division,US_Air_Force,4,place,2
Aggregat_2,Borkum,2,place,1
Akademie_der_Wissenschaften,Heidelberg,3,place,1
Albert_Speer,Adolf_Hitler,2,function,1
Albert_Speer,Mittelbau_Dora,2,place,1
Albertus_Universitaet_Koenigsberg,Koenigsberg,2,place,1
Apollo_Programm,Cape_Canaveral,4,place,2
Apollo_Programm,Huntsville,4,place,2
Apollo_Programm,Kennedy_Space_Center,4,place,2
Apollo_Programm,Marshall_Space_Flight_Center,4,mission,2
Army_Ballistic_Missile_Agency,Fort_Bliss,3,place,2
Army_Ballistic_Missile_Agency,Huntsville,3,place,2
Arthur_Rudolph,Berlin,1,place,1
Arthur_Rudolph,Firma_Heylandt,1,function,1
Arthur_Rudolph,Nationalsozialistische_Deutsche_Arbeiterpartei,1,function,1
Arthur_Rudolph,Verein_fuer_Raumschifffahrt,1,function,1
Arthur_Rudolph,Berlin,2,place,1
Arthur_Rudolph,Heeresversuchsanstalt,2,function,1
Arthur_Rudolph,Heereswaffenamt,2,function,1
Arthur_Rudolph,Kummersdorf,2,place,1
Arthur_Rudolph,Mittelbau_Dora,2,place,1
Arthur_Rudolph,Mittelwerk_GmbH,2,function,1
Arthur_Rudolph,Peenemuende,2,place,1
Arthur_Rudolph,Schutzstaffel,2,function,1
Arthur_Rudolph,Sturmabteilung,2,function,1
Arthur_Rudolph,V2,2,function,1
Arthur_Rudolph,Verein_fuer_Raumschifffahrt,2,function,1
Arthur_Rudolph,Army_Ballistic_Missile_Agency,3,function,2
Arthur_Rudolph,Fort_Bliss,3,place,2
Arthur_Rudolph,Huntsville,3,place,2
Arthur_Rudolph,Redstone,3,mission,2
Arthur_Rudolph,US_Army,3,function,2
Arthur_Rudolph,White_Sands_Missile_Range,3,function,2
Arthur_Rudolph,Houston,4,place,2
Arthur_Rudolph,Huntsville,4,place,2
Arthur_Rudolph,Lyndon_B_Johnson_Space_Center,4,function,2
Arthur_Rudolph,Marshall_Space_Flight_Center,4,function,2
Arthur_Rudolph,National_Aeronautics_and_Space_Administration,4,function,2
Arthur_Rudolph,Saturn_V,4,mission,2
Bell_Air_Craft_Corporation,Buffalo,3,place,2
Bell_Air_Craft_Corporation,Buffalo,4,place,2
Bernhard_Tessmann,Ebensee,2,place,1
Bernhard_Tessmann,Heeresversuchsanstalt,2,function,1
Bernhard_Tessmann,Koelpinsee,2,place,1
Bernhard_Tessmann,Peenemuende,2,place,1
Bernhard_Tessmann,V2,2,function,1
Bernhard_Tessmann,Fort_Bliss,3,place,2
Bernhard_Tessmann,Huntsville,3,place,2
Bernhard_Tessmann,US_Army,3,function,2
Bernhard_Tessmann,White_Sands_Missile_Range,3,function,2
Bernhard_Tessmann,Huntsville,4,place,2
Bernhard_Tessmann,National_Aeronautics_and_Space_Administration,4,function,2
Burschenschaft_Markommannia,Darmstadt,1,place,1
Convair_Company,San_Diego,4,place,2
Deutsche_Akademie_der_Naturforscher_Leopoldina,Halle,2,place,1
Deutsche_Akademie_fuer_Luftfahrtforschung,Berlin,2,place,1
Deutsche_Versuchsanstalt_fuer_Luftfahrt,Berlin,2,place,1
Dieter_Huzel,Berlin,2,place,1
Dieter_Huzel,Doernten,2,place,1
Dieter_Huzel,Ebensee,2,place,1
Dieter_Huzel,Eisenerzgrube_Georg_Friedrich,2,function,1
Dieter_Huzel,Heeresversuchsanstalt,2,function,1
Dieter_Huzel,Nationalsozialistische_Deutsche_Arbeiterpartei,2,function,1
Dieter_Huzel,Oberjoch,2,place,1
Dieter_Huzel,Peenemuende,2,place,1
Dieter_Huzel,Pruefstand_VII,2,function,1
Dieter_Huzel,Stuttgart,2,place,1
