id,name,type,study,promotion
Adolf_Hitler,Hitler,0,0,0
Albert_Speer,Speer,0,1,0
Arthur_Rudolph,Rudolph,0,1,0
Bernhard_Tessmann,Tessmann,0,1,0
Dieter_Huzel,Huzel,0,1,0
Eberhard_Rees,Rees,0,1,0
Erich_Warsitz,Warsitz,0,0,0
Ernst_Heinkel,Heinkel,0,1,0
Ernst_Stuhlinger,Stuhlinger,0,1,1
Georg_Rickhey,Rickhey,0,1,1
Georg_von_Tiesenhausen,Tiesenhausen,0,1,1
Heinrich_Himmler,Himmler,0,1,0
Hermann_Oberth,Oberth,0,1,0
Hubertus_Strughold,Strughold,0,1,1
Joachim_Kuettner,Kuettner,0,1,1
John_F_Kennedy,Kennedy,0,1,0
Klaus_Riedel,K_Riedel,0,1,0
Konrad_Dannenberg,Dannenberg,0,1,0
Konrad_Schaefer,Schaefer,0,1,1
Kurt_Debus,Debus,0,1,1
Rudolf_Nebel,Nebel,0,1,0
Siegfried_Ruff,Ruff,0,1,1
Theodor_Benzinger,Benzinger,0,1,1
Walt_Disney,Disney,0,0,0
Walter_Dornberger,Dornberger,0,1,0
Walter_Riedel,W_Riedel,0,0,0
Wernher_von_Braun,Braun,0,1,1
Aero_Medical_Center,AMC,1,99,99
Aerospace_Medical_Division,AMD,1,99,99
Akademie_der_Wissenschaften,AdW,1,99,99
Albertus_Universitaet_Koenigsberg,Uni_Koenigsberg,1,99,99
Army_Ballistic_Missile_Agency,ABMA,1,99,99
Bell_Air_Craft_Corporation,BACC,1,99,99
Burschenschaft_Markommannia,BMM,1,99,99
Convair_Company,Convair,1,99,99
Deutsche_Akademie_der_Naturforscher_Leopoldina,Leopoldina,1,99,99
Deutsche_Akademie_fuer_Luftfahrtforschung,DAfL,1,99,99
Deutsche_Versuchsanstalt_fuer_Luftfahrt,DVfL,1,99,99
Eberhard_Karls_Universitaet_Tuebingen,Uni_Tuebingen,1,99,99
Eidgenoessische_Technische_Hochschule_Zuerich,ETH_Zuerich,1,99,99
Firma_Hatlapa,Firma_Hatlapa,1,99,99
Firma_Heylandt,Firma_Heylandt,1,99,99
Flugmedizinisches_Institut,FmI,1,99,99
Forschungsinstitut_fuer_Luftfahrtmedizin,FfL,1,99,99
Forschungsstation_Zugspitze,ForStaZug,1,99,99
Friedrich_Wilhelm_Universitaet_Berlin,Uni_Wilhelm,1,99,99
Future_Launch_Systems_Study_Office,FLSSO,1,99,99
Gefangenschaft,Gefangenschaft,1,99,99
Geophysical_Research_Directorate,GRD,1,99,99
Georg_August_Universitaet_Goettingen,Uni_Goettingen,1,99,99
Gesellschaft_fuer_Raketenforschung,GfR,1,99,99
Gestapo,Gestapo,1,99,99
Heeresversuchsanstalt,HVA,1,99,99
Heereswaffenamt,HWA,1,99,99
Ingenieurschule_Hamburg,Ingenieurschule,1,99,99
Institut_fuer_Flugmedizin_der_deutschen_Versuchsanstalt,IfFddV,1,99,99
Institut_fuer_Weltraummedizin,IfW,1,99,99
Julius_Maximilians_Universitaet_Wuerzburg,Uni_Wuerzburg,1,99,99
Konzentrationslager_Dachau,KZ_Dachau,1,99,99
Ludwig_Maximilians_Universitaet_Muenchen,Uni_Muenchen,1,99,99
Luftfahrtmedizinisches_Forschungsinstitut,LmFi,1,99,99
Luftwaffe,Luftwaffe,1,99,99
Lyndon_B_Johnson_Space_Center,JSC,1,99,99
Marshall_Space_Flight_Center,MSFC,1,99,99
Messerschmitt_AG,Messerschmitt_AG,1,99,99
Mittelwerk_GmbH,Mittelwerk_GmbH,1,99,99
National_Aeronautics_and_Space_Administration,NASA,1,99,99
National_Institute_of_Standards_and_Technology,NIoST,1,99,99
Nationaldemokratische_Partei_Deutschland,NPD,1,99,99
Nationalsozialistische_Deutsche_Arbeiterpartei,NSDAP,1,99,99
Naval_Medical_Research_Institute,NMRI,1,99,99
North_American_Aviation,NAA,1,99,99
Physiologisches_Institut_Freiburg,PI_Freiburg,1,99,99
Physiologisches_Institut_Western_University,PI_Western,1,99,99
Physiologisches_Institut_Wuerzburg,PI_Wuerzburg,1,99,99
Randolph_Air_Force_Base,RAFB,1,99,99
Reichsluftfahrtministerium,RLM,1,99,99
Reichsruestungsministerium,RRM,1,99,99
Ruprecht_Karls_Universitaet_Heidelberg,Uni_Heidelberg,1,99,99
Schering_AG,Schering_AG,1,99,99
Schutzstaffel,SS,1,99,99
Sturmabteilung,SA,1,99,99
Technische_Hochschule_Berlin,TH_Berlin,1,99,99
Technische_Hochschule_Darmstadt,TH_Darmstadt,1,99,99
Technische_Hochschule_Hannover,TH_Hannover,1,99,99
Technische_Hochschule_Stuttgart,TH_Stuttgart,1,99,99
Technische_Universitaet_Berlin,TU_Berlin,1,99,99
Technische_Universitaet_Klausenburg,TU_Klausenburg,1,99,99
Technische_Universitaet_Muenchen,TU_Muenchen,1,99,99
Universitaet_Berlin,Uni_Berlin,1,99,99
Universitaet_Budapest,Uni_Budapest,1,99,99
Universitaet_Freiburg,Uni_Freiburg,1,99,99
University_of_California,Uni_California,1,99,99
US_Air_Force,USAF,1,99,99
US_Air_Force_Aviation_University,USAAU,1,99,99
US_Army,US_Army,1,99,99
Verein_fuer_Raumschifffahrt,VfR,1,99,99
Walt_Disney_Company,WDC,1,99,99
Western_University,Uni_Western,1,99,99
Westfaelische_Wilhelms_Universitaet_Muenster,Uni_Muenster,1,99,99
White_Sands_Missile_Range,WSMR,1,99,99
Zeitschrift_Luftfahrtmedizin,Zeit_Lfm,1,99,99
Alabama,Alabama,2,99,99
Augsburg,Augsburg,2,99,99
Berlin,Berlin,2,99,99
Bethesda,Bethesda,2,99,99
Bonn,Bonn,2,99,99
Borkum,Borkum,2,99,99
Breslau,Breslau,2,99,99
Budapest,Budapest,2,99,99
Buffalo,Buffalo,2,99,99
Cambridge,Cambridge,2,99,99
Cape_Canaveral,Cape_Canaveral,2,99,99
Chigago,Chigago,2,99,99
Cleveland,Cleveland,2,99,99
Dachau,Dachau,2,99,99
Darmstadt,Darmstadt,2,99,99
Deggendorf,Deggendorf,2,99,99
Doernten,Doernten,2,99,99
Ebensee,Ebensee,2,99,99
Eisenerzgrube_Georg_Friedrich,Eisenerzgrube,2,99,99
Fort_Bliss,Fort_Bliss,2,99,99
Freiburg,Freiburg,2,99,99
Fuehrerhauptquartier_Wolfsschanze,Wolfsschanze,2,99,99
Gaithersburg,Gaithersburg,2,99,99
Goettingen,Goettingen,2,99,99
Halle,Halle,2,99,99
Hamburg,Hamburg,2,99,99
Hannover,Hannover,2,99,99
Heidelberg,Heidelberg,2,99,99
Houston,Houston,2,99,99
Huntsville,Huntsville,2,99,99
Jueterbog,Jueterbog,2,99,99
Kennedy_Space_Center,KSC,2,99,99
Klausenburg,Klausenburg,2,99,99
Koelpinsee,Koelpinsee,2,99,99
Koenigsberg,Koenigsberg,2,99,99
Kummersdorf,Kummersdorf,2,99,99
Los_Angeles,Los_Angeles,2,99,99
Mittelbau_Dora,Mittelbau_Dora,2,99,99
